zipcode,score,name,latitude,longitude
19149,0.5840628921,"PHILADELPHIA, PA 19149",40.04,-75.07
19154,0.7130182746,"PHILADELPHIA, PA 19154",40.09,-74.98
19317,0.5830307295,"CHADDS FORD, PA 19317",39.86,-75.6
19320,0.5591209579,"COATESVILLE, PA 19320",39.98,-75.83
19335,0.595968225,"DOWNINGTOWN, PA 19335",40.02,-75.72
19341,0.8181400857,"EXTON, PA 19341",40.04,-75.64
19355,0.6961281373,"MALVERN, PA 19355",40.04,-75.53
19380,0.9464136758,"WEST CHESTER, PA 19380",39.98,-75.59
19382,0.8285643069,"WEST CHESTER, PA 19382",39.94,-75.6
19401,0.6504272279,"NORRISTOWN, PA 19401",40.12,-75.34
19403,0.8655721379,"NORRISTOWN, PA 19403",40.14,-75.39
19406,0.7476917413,"KING OF PRUSSIA, PA 19406",40.09,-75.38
19422,0.6970750057,"BLUE BELL, PA 19422",40.16,-75.28
19425,0.5374135336,"CHESTER SPRINGS, PA 19425",40.1,-75.65
19426,0.6335396696,"COLLEGEVILLE, PA 19426",40.19,-75.45
19428,0.5972395841,"CONSHOHOCKEN, PA 19428",40.08,-75.31
19438,0.5410262173,"HARLEYSVILLE, PA 19438",40.27,-75.39
19440,0.5843740424,"HATFIELD, PA 19440",40.28,-75.29
19446,0.77473957,"LANSDALE, PA 19446",40.24,-75.29
19454,0.5074154912,"NORTH WALES, PA 19454",40.22,-75.25
19460,0.7036339329,"PHOENIXVILLE, PA 19460",40.13,-75.52
19462,0.5537275498,"PLYMOUTH MEETING, PA 19462",40.12,-75.29
19464,0.6133968364,"POTTSTOWN, PA 19464",40.25,-75.63
19701,0.5691842134,"BEAR, DE 19701",39.6,-75.69
19702,0.689538352,"NEWARK, DE 19702",39.63,-75.71
19707,0.6021656785,"HOCKESSIN, DE 19707",39.78,-75.69
19709,0.7137379817,"MIDDLETOWN, DE 19709",39.47,-75.7
19711,0.9001388139,"NEWARK, DE 19711",39.7,-75.74
19720,0.6799792915,"NEW CASTLE, DE 19720",39.67,-75.59
19801,0.5221314012,"WILMINGTON, DE 19801",39.74,-75.55
19803,0.6812144438,"WILMINGTON, DE 19803",39.79,-75.53
19806,0.5366152073,"WILMINGTON, DE 19806",39.76,-75.56
19807,0.652378758,"WILMINGTON, DE 19807",39.78,-75.6
19808,0.7630842281,"WILMINGTON, DE 19808",39.74,-75.66
19810,0.7004172202,"WILMINGTON, DE 19810",39.82,-75.5
20001,0.6264019786,"WASHINGTON, DC 20001",38.91,-77.02
20002,0.7016264142,"WASHINGTON, DC 20002",38.9,-76.99
20003,0.7251630038,"WASHINGTON, DC 20003",38.88,-76.99
20007,0.9532307293,"WASHINGTON, DC 20007",38.91,-77.07
20008,0.7147086634,"WASHINGTON, DC 20008",38.93,-77.06
20009,0.7447949601,"WASHINGTON, DC 20009",38.92,-77.04
20011,0.6093776606,"WASHINGTON, DC 20011",38.95,-77.02
20015,0.6502748386,"WASHINGTON, DC 20015",38.97,-77.07
20016,0.7678433005,"WASHINGTON, DC 20016",38.94,-77.09
20036,0.8065392521,"WASHINGTON, DC 20036",38.91,-77.04
20109,0.5143803848,"MANASSAS, VA 20109",38.79,-77.52
20110,0.6801948237,"MANASSAS, VA 20110",38.75,-77.48
20111,0.5275886934,"MANASSAS, VA 20111",38.76,-77.44
20120,0.5350426247,"CENTREVILLE, VA 20120",38.85,-77.45
20132,0.5411148091,"PURCELLVILLE, VA 20132",39.15,-77.72
20147,0.7767110463,"ASHBURN, VA 20147",39.04,-77.49
20151,0.7108279899,"CHANTILLY, VA 20151",38.9,-77.44
20155,0.6569570355,"GAINESVILLE, VA 20155",38.8,-77.62
20164,0.6506742532,"STERLING, VA 20164",39.01,-77.39
20165,0.5843259715,"STERLING, VA 20165",39.04,-77.39
20166,0.6920904967,"STERLING, VA 20166",38.99,-77.43
20170,0.7134568428,"HERNDON, VA 20170",38.98,-77.38
20171,0.6988881219,"HERNDON, VA 20171",38.93,-77.4
20176,0.6946762731,"LEESBURG, VA 20176",39.13,-77.53
20190,0.6355710021,"RESTON, VA 20190",38.96,-77.35
20191,0.7054522333,"RESTON, VA 20191",38.93,-77.35
20601,0.5519767143,"WALDORF, MD 20601",38.62,-76.87
20603,0.5392464964,"WALDORF, MD 20603",38.63,-76.96
20646,0.6836658568,"LA PLATA, MD 20646",38.53,-76.99
20705,0.7633187007,"BELTSVILLE, MD 20705",39.05,-76.91
20706,0.7640440001,"LANHAM, MD 20706",38.96,-76.85
20707,0.7282864116,"LAUREL, MD 20707",39.1,-76.87
20715,0.7598596975,"BOWIE, MD 20715",38.98,-76.74
20720,0.5343003821,"BOWIE, MD 20720",38.98,-76.79
20721,0.5086318533,"BOWIE, MD 20721",38.92,-76.8
